Hilos,Schedule,Chunk,Limite,Primes,Tiempo
5,Static,10000000,10000000,664579,4.293026
5,Dynamic,10000000,10000000,664579,4.289212
6,Static,100,10000000,664579,0.738054
6,Dynamic,100,10000000,664579,0.728163
6,Static,1000,10000000,664579,0.734146
6,Dynamic,1000,10000000,664579,0.727330
6,Static,10000,10000000,664579,0.734749
6,Dynamic,10000,10000000,664579,0.729344
6,Static,100000,10000000,664579,0.751253
6,Dynamic,100000,10000000,664579,0.747876
6,Static,1000000,10000000,664579,0.997089
6,Dynamic,1000000,10000000,664579,1.014275
6,Static,10000000,10000000,664579,4.245803
6,Dynamic,10000000,10000000,664579,4.274830
