NumThreads,Estrategia,Tiempo
2,Critical,0.039882
2,Ordered,0.008676
2,Reduction,0.002962
2,Critical,0.036891
2,Ordered,0.008674
2,Reduction,0.002850
2,Critical,0.037285
2,Ordered,0.008762
2,Reduction,0.002826
2,Critical,0.038514
2,Ordered,0.008628
2,Reduction,0.002813
2,Critical,0.040076
2,Ordered,0.008728
2,Reduction,0.002786
2,Critical,0.036530
2,Ordered,0.008748
2,Reduction,0.002804
2,Critical,0.038184
2,Ordered,0.008672
2,Reduction,0.002796
2,Critical,0.035290
2,Ordered,0.008673
2,Reduction,0.002823
2,Critical,0.043567
2,Ordered,0.008881
2,Reduction,0.002825
2,Critical,0.043871
2,Ordered,0.008498
2,Reduction,0.002991
2,Critical,0.036386
2,Ordered,0.008523
2,Reduction,0.002750
2,Critical,0.035206
2,Ordered,0.008452
2,Reduction,0.002748
2,Critical,0.036347
2,Ordered,0.009309
2,Reduction,0.002756
2,Critical,0.038408
2,Ordered,0.008585
2,Reduction,0.002821
2,Critical,0.047411
2,Ordered,0.008690
2,Reduction,0.003222
2,Critical,0.047806
2,Ordered,0.008666
2,Reduction,0.002823
2,Critical,0.039324
2,Ordered,0.008657
2,Reduction,0.002841
2,Critical,0.036727
2,Ordered,0.008643
2,Reduction,0.002748
2,Critical,0.037159
2,Ordered,0.009311
2,Reduction,0.002893
2,Critical,0.037072
2,Ordered,0.008655
2,Reduction,0.002757
2,Critical,0.037891
2,Ordered,0.008666
2,Reduction,0.002751
2,Critical,0.038562
2,Ordered,0.008633
2,Reduction,0.002750
2,Critical,0.039306
2,Ordered,0.008728
2,Reduction,0.002749
2,Critical,0.039194
2,Ordered,0.008760
2,Reduction,0.002764
2,Critical,0.044377
2,Ordered,0.008503
2,Reduction,0.002766
2,Critical,0.035515
2,Ordered,0.008497
2,Reduction,0.002747
2,Critical,0.042607
2,Ordered,0.008454
2,Reduction,0.002759
2,Critical,0.035503
2,Ordered,0.008638
2,Reduction,0.002801
2,Critical,0.036672
2,Ordered,0.008570
2,Reduction,0.002881
2,Critical,0.039049
2,Ordered,0.008588
